Codigo;FONTENLA
AL-CM-SOL-B/FR;8
AL-CM-SOL-C/OWF;16
AL-CO-DOB-BFTFX;5
AL-CO-DOB-C/OWX;0
AL-CO-DOB-F/TFX;4
AL-CO-DOB-FOWFX;3
AL-CO-DUE-FR/OW;0
AL-ML-SOL-BLFFX;8
AL-ML-SOL-COWFX;19
AL-ROP-DCA-F/OW;1
AL-ROP-DCA-F/TI;0
AL-ROP-SOL-BL-F;4
AL-ROP-SOL-OWFX;5
AL-ZA-DOR-BLANC;3
AL-ZA-DOR-C/OFW;0
AL-ZA-DUE-CM/OW;18
CI-AP-LOT-22-MC;24
CI-BA-BE-32-ML;36
CI-BA-BE-47-MK;28
CI-CA-AM-32-ML;72
CI-CA-AM-32-MLC;76
CI-CA-PE-32-ML;64
CI-CA-PE-47-MK;62
CI-CA-TA-47-MK;58
CI-CA-TA-82-MT;70
CO-AP-SE-OWM/F;26
CO-CRIS-GUANOWF;19
CO-CRIS-GUANPNM;9
CO-CRIS-JUROWMF;11
CO-CRIS-NOROWMF;11
CO-CRIS-SE-WM/F;27
CO-MO-CAMPECFCF;8
CO-MO-CAMPECFOW;15
CO-MO-CANCUNAME;10
CO-MO-CANCUNFOW;3
CO-MO-HUMAITFCF;5
CO-MO-HUMAITWMF;2
CO-MO-JORDAOFRE;3
CO-MO-JORDAOOWF;1
CO-MO-JUR150AWM;0
CO-MO-JUR150WMF;16
CO-MO-JUR180AWM;3
CO-MO-JUR180WMF;8
CO-MO-MACEIOFCF;2
CO-MO-MACEIOFOW;12
CO-MOSUS-EUGFWM;6
CO-MOSUSJUR18AW;10
CO-MOSUSJUR18NP;5
CO-MOSUS-LOAWMF;3
CO-MO-VALENCWMF;13
CO-PAN-1956NIFW;9
CO-PAN-2500NIFW;9
CO-RACK-AMANMPF;1
CO-RACK-AMA-NOW;43
CO-RACK-AMA-OWF;41
CO-RACK-COPADPF;11
CO-RACK-FORTFRE;0
CO-RACK-FORTOWM;0
CO-RACK-JU15FWM;4
CO-RACK-JU18FWM;10
CO-RACK-JUROWMF;11
CO-RACK-LO-F/OW;9
CO-RACK-LO-NO/P;7
CO-RACK-MAG-NAT;28
CO-RACK-MAG-OWF;31
CO-RACK-MANAUSF;7
